dxcode_1,dxcode_2,dxname_2
abdt010,abdt010_1010,Neuroblastoma (NB)
abdt010,abdt010_1020,Ganglioneuroblastoma (GNB)
abdt010,abdt010_1030,Ganglioneuroma (GN)
abdt020,abdt020_2010,Favorable Histology (FH)
abdt020,abdt020_2020,Diffuse Anaplasia (DA)
abdt020,abdt020_2030,Focal Anaplasia (FA)
abdt030,abdt030_3010,Rhabdoid tumor of kidney (RTK)
abdt030,abdt030_3020,Clear cell sarcoma of kidney (CCSK)
abdt030,abdt030_3030,Congenital Mesoblastic Nephroma
abdt030,abdt030_3040,Renal Cell Carcinoma
abdt030,abdt030_3050,Cystic Nephroma
abdt050,abdt050_5010,"Hepatoblastoma (HBL), Pure Fetal"
abdt050,abdt050_5020,"Hepatoblastoma (HBL), Undifferentiated"
abdt050,abdt050_5030,"Hepatoblastoma (HBL), Unspecified"
abdt060,abdt060_6010,Hepatocellular Carcinoma (HCC)
abdt070,abdt070_7010,"Hemangioendothelioma, Liver"
abdt080,abdt080_,
abdt090,abdt090_,
abdt100,abdt100_1110,Solid Pseudopapillary Carcinoma of Pancreas
abdt100,abdt100_1120,Pancreatic Cancer
abdt100,abdt100_1130,Pheochromocytoma
abdt110,abdt110_,
abdt120,abdt120_1210,"Juvenile granulosa cell tumor, cystic variant"
brain010,brain010_1010,Medulloblastoma (MBL)
brain020,brain020_2010,Atypical Teratoid Rhabdoid Tumor (ATRT)
brain030,brain030_3010,Primitive Neuroectodermal Tumor (PNET)
brain040,brain040_4010,York sac tumor
brain040,brain040_4020,Choriocarcinoma
brain040,brain040_4030,Embryonal carcinoma
brain040,brain040_4040,Teratoma
brain040,brain040_4050,Immature teratoma
brain040,brain040_4060,Mixed Germ Cell Tumor
brain050,brain050_5010,"Glioma, Brain Stem"
brain050,brain050_5020,"Glioma, Unspecified"
brain050,brain050_5030,"Glioma, Oligodendroglioma, low grade (1~2)"
brain050,brain050_5040,"Glioma, Anaplastic Oligodendroglioma, high grade (3)"
brain050,brain050_5050,"Glioma, Oligodendroglioma, unspecified"
brain050,brain050_5060,"Glioma, Optic"
brain050,brain050_5070,"Astrocytoma, Unspecified"
brain050,brain050_5080,"Astrocytoma, Low Grade (1~2)-pilocytic astrocytoma"
brain050,brain050_5090,"Astrocytoma, Low Grade (1~2)-diffuse astrocytoma"
brain050,brain050_5100,"Astrocytoma, Low Grade (1~2)-fibrillary astrocytoma"
brain050,brain050_5110,"Astrocytoma, Low Grade (1~2)-Others"
brain050,brain050_5120,"Astrocytoma, High Grade (3)-anaplastic astrocytoma"
brain050,brain050_5130,"Astrocytoma, High Grade (3)-Others"
brain050,brain050_5140,Glioblastoma multiforme (GM)
brain050,brain050_5150,Glioneuronal Tumor
brain060,brain060_6010,"Pineal Gland Tumor, unspecified"
brain060,brain060_6020,Pineoblastoma
brain060,brain060_6030,PPID (pineal parenchymal tumor of intermed diff)
brain070,brain070_7010,Ependymoma
brain070,brain070_7020,Anaplastic Ependymoma
brain090,brain090_9010,Choroid plexus papilloma
brain090,brain090_9020,Choroid plexus carcinoma
